"origin","destiny","sex","age","accepted_total","rejected_total","total","predict2015"
"Iraq","Francia","Hombres","35 a 64",365,95,460,0.6085
"Israel","Francia","Hombres","35 a 64",0,5,5,0.0225
"Jamaica","Francia","Hombres","35 a 64",0,10,10,0.261
"Kazakhstan","Francia","Hombres","35 a 64",10,125,135,0.0862
"Kenya","Francia","Hombres","35 a 64",0,5,5,0.1131
"Kosovo","Francia","Hombres","35 a 64",105,3125,3230,0.0513
"Kyrgyzstan","Francia","Hombres","35 a 64",5,50,55,0.0967
"Laos","Francia","Hombres","35 a 64",0,5,5,0.4621
"Líbano","Francia","Hombres","35 a 64",0,55,55,0.0825
"Liberia","Francia","Hombres","35 a 64",0,45,45,0.1391
"Libia","Francia","Hombres","35 a 64",5,55,60,0.2754
"Macedonia","Francia","Hombres","35 a 64",0,385,385,0.0045
"Madagascar","Francia","Hombres","35 a 64",15,160,175,0.0923
"Mali","Francia","Hombres","35 a 64",470,980,1450,0.2958
"Marruecos","Francia","Hombres","35 a 64",15,145,160,0.0616
"Mauritania","Francia","Hombres","35 a 64",70,2455,2525,0.179
"Moldavia","Francia","Hombres","35 a 64",0,215,215,0.0275
"Mongolia","Francia","Hombres","35 a 64",10,215,225,0.0308
"Montenegro","Francia","Hombres","35 a 64",0,135,135,0.0105
"Myanmar/Burma","Francia","Hombres","35 a 64",5,135,140,0.6064
"Nepal","Francia","Hombres","35 a 64",0,55,55,0.1158
"Níger","Francia","Hombres","35 a 64",0,30,30,0.2015
"Nigeria","Francia","Hombres","35 a 64",25,660,685,0.0993
"Pakistán","Francia","Hombres","35 a 64",70,1750,1820,0.1559
"Palestina","Francia","Hombres","35 a 64",95,50,145,0.6493
"Perú","Francia","Hombres","35 a 64",0,210,210,0.116
"Rep. Dem. Congo","Francia","Hombres","35 a 64",355,3195,3550,0.1998
"República Centroafricana","Francia","Hombres","35 a 64",85,70,155,0.6438
"República Dominicana","Francia","Hombres","35 a 64",0,105,105,0.0063
"Ruanda","Francia","Hombres","35 a 64",115,115,230,0.4009
"Rusia","Francia","Hombres","35 a 64",515,3125,3640,0.1714
"Sahara Occidental","Francia","Hombres","35 a 64",55,80,135,0.3455
"Senegal","Francia","Hombres","35 a 64",55,225,280,0.1616
"Serbia","Francia","Hombres","35 a 64",30,960,990,0.023
"Sierra Leona","Francia","Hombres","35 a 64",10,75,85,0.2556
"Siria","Francia","Hombres","35 a 64",595,60,655,0.8732
"Somalia","Francia","Hombres","35 a 64",120,260,380,0.6779
"Sri Lanka","Francia","Hombres","35 a 64",525,3360,3885,0.3138
"Sudáfrica","Francia","Hombres","35 a 64",0,10,10,0.0982
"Sudán","Francia","Hombres","35 a 64",105,635,740,0.4902
"Tailandia","Francia","Hombres","35 a 64",0,35,35,0.0595
"Tajikistán","Francia","Hombres","35 a 64",0,10,10,0.1097
"Togo","Francia","Hombres","35 a 64",15,210,225,0.1774
"Túnez","Francia","Hombres","35 a 64",30,170,200,0.029
"Turquía","Francia","Hombres","35 a 64",160,2110,2270,0.1575
"Ucrania","Francia","Hombres","35 a 64",10,160,170,0.0737
"Uzbekistán","Francia","Hombres","35 a 64",0,35,35,0.1578
"Venezuela","Francia","Hombres","35 a 64",0,20,20,0.091
"Vietnam","Francia","Hombres","35 a 64",10,25,35,0.0613
"Yemen","Francia","Hombres","35 a 64",0,10,10,0.3982
"Zimbabwe","Francia","Hombres","35 a 64",0,5,5,0.3954
"Afganistán","Grecia","Hombres","35 a 64",45,435,480,0.084
"Albania","Grecia","Hombres","35 a 64",0,345,345,0.008
"Algeria","Grecia","Hombres","35 a 64",0,140,140,0.0044
"Apátrida","Grecia","Hombres","35 a 64",5,250,255,0.1754
"Armenia","Grecia","Hombres","35 a 64",0,65,65,0.0069
"Bahréin","Grecia","Hombres","35 a 64",0,5,5,0.1881
"Bangladesh","Grecia","Hombres","35 a 64",0,1085,1085,0.0085
"Bielorrusia","Grecia","Hombres","35 a 64",0,5,5,0.0167
"Burkina Faso","Grecia","Hombres","35 a 64",0,70,70,0.0156
"Burundi","Grecia","Hombres","35 a 64",0,10,10,0.0442
"Camerún","Grecia","Hombres","35 a 64",0,30,30,0.0248
"China (incluye Hong Kong)","Grecia","Hombres","35 a 64",0,460,460,0.0267
"Comoras","Grecia","Hombres","35 a 64",0,5,5,0.0158
"Congo","Grecia","Hombres","35 a 64",0,20,20,0.0239
"Costa de Marfil","Grecia","Hombres","35 a 64",0,60,60,0.0266
"Desconocido","Grecia","Hombres","35 a 64",0,20,20,0.0404
"Dominica","Grecia","Hombres","35 a 64",0,5,5,0
"Egipto","Grecia","Hombres","35 a 64",0,150,150,0.0248
"Eritrea","Grecia","Hombres","35 a 64",25,35,60,0.2526
"Etiopía","Grecia","Hombres","35 a 64",0,25,25,0.0478
"Filipinas","Grecia","Hombres","35 a 64",0,45,45,0
"Gambia","Grecia","Hombres","35 a 64",0,25,25,0.0157
"Georgia","Grecia","Hombres","35 a 64",0,1530,1530,0.003
"Ghana","Grecia","Hombres","35 a 64",0,135,135,0.0158
"Guinea","Grecia","Hombres","35 a 64",0,10,10,0.0361
"India","Grecia","Hombres","35 a 64",0,315,315,0.002
"Indonesia","Grecia","Hombres","35 a 64",0,15,15,0
"Irán","Grecia","Hombres","35 a 64",60,310,370,0.0921
"Iraq","Grecia","Hombres","35 a 64",45,790,835,0.1272
"Kenya","Grecia","Hombres","35 a 64",0,15,15,0.0118
"Líbano","Grecia","Hombres","35 a 64",0,15,15,0.0084
"Libia","Grecia","Hombres","35 a 64",0,5,5,0.0344
"Marruecos","Grecia","Hombres","35 a 64",0,120,120,0.0061
"Mauritania","Grecia","Hombres","35 a 64",0,50,50,0.02
"Moldavia","Grecia","Hombres","35 a 64",0,30,30,0.0026
"Myanmar/Burma","Grecia","Hombres","35 a 64",0,5,5,0.1263
"Nepal","Grecia","Hombres","35 a 64",0,10,10,0.0121
"Níger","Grecia","Hombres","35 a 64",0,5,5,0.0231
"Nigeria","Grecia","Hombres","35 a 64",15,315,330,0.0102
"Pakistán","Grecia","Hombres","35 a 64",10,3970,3980,0.017
"Palestina","Grecia","Hombres","35 a 64",0,25,25,0.148
"Rep. Dem. Congo","Grecia","Hombres","35 a 64",5,45,50,0.0229
"República Dominicana","Grecia","Hombres","35 a 64",0,60,60,6e-04
"Ruanda","Grecia","Hombres","35 a 64",0,20,20,0.0591
"Rusia","Grecia","Hombres","35 a 64",0,25,25,0.019
"Senegal","Grecia","Hombres","35 a 64",0,325,325,0.0178
"Sierra Leona","Grecia","Hombres","35 a 64",0,15,15,0.0312
"Siria","Grecia","Hombres","35 a 64",100,285,385,0.3925
"Somalia","Grecia","Hombres","35 a 64",15,80,95,0.1648
"Sri Lanka","Grecia","Hombres","35 a 64",0,85,85,0.0411
"Sudán","Grecia","Hombres","35 a 64",60,125,185,0.0827
"Tanzania","Grecia","Hombres","35 a 64",0,45,45,0.0093
"Timor-Leste","Grecia","Hombres","35 a 64",0,5,5,0
"Túnez","Grecia","Hombres","35 a 64",0,30,30,0.0028
"Turquía","Grecia","Hombres","35 a 64",25,80,105,0.0172
"Ucrania","Grecia","Hombres","35 a 64",0,25,25,0.0074
"Uganda","Grecia","Hombres","35 a 64",0,5,5,0.0645
"Uzbekistán","Grecia","Hombres","35 a 64",0,10,10,0.0173
"Vietnam","Grecia","Hombres","35 a 64",0,5,5,0.0061
"Afganistán","Holanda","Hombres","35 a 64",305,575,880,0.5602
"Albania","Holanda","Hombres","35 a 64",0,25,25,0.1002
"Algeria","Holanda","Hombres","35 a 64",0,45,45,0.0576
"Angola","Holanda","Hombres","35 a 64",0,20,20,0.1835
"Apátrida","Holanda","Hombres","35 a 64",420,115,535,0.7472
"Armenia","Holanda","Hombres","35 a 64",55,325,380,0.0885
"Azerbaijan","Holanda","Hombres","35 a 64",25,85,110,0.2043
"Bangladesh","Holanda","Hombres","35 a 64",0,25,25,0.1059
"Bhutan","Holanda","Hombres","35 a 64",25,0,25,0.6192
"Bielorrusia","Holanda","Hombres","35 a 64",0,35,35,0.191
"Bosnia y Herzegovina","Holanda","Hombres","35 a 64",0,60,60,0.0361
"Burkina Faso","Holanda","Hombres","35 a 64",0,5,5,0.1809
"Burundi","Holanda","Hombres","35 a 64",0,25,25,0.3913
"Camerún","Holanda","Hombres","35 a 64",5,30,35,0.2612
"China (incluye Hong Kong)","Holanda","Hombres","35 a 64",105,255,360,0.2761
"Colombia","Holanda","Hombres","35 a 64",5,40,45,0.1686
"Congo","Holanda","Hombres","35 a 64",10,60,70,0.2537
"Corea del Norte","Holanda","Hombres","35 a 64",15,30,45,0.45
"Costa de Marfil","Holanda","Hombres","35 a 64",25,65,90,0.2752
"Cuba","Holanda","Hombres","35 a 64",0,20,20,0.6635
"Desconocido","Holanda","Hombres","35 a 64",70,165,235,0.3688
"Egipto","Holanda","Hombres","35 a 64",20,150,170,0.2609
"Eritrea","Holanda","Hombres","35 a 64",360,100,460,0.8244
"Estados Unidos","Holanda","Hombres","35 a 64",0,5,5,0.0699
"Etiopía","Holanda","Hombres","35 a 64",60,70,130,0.4108
"Gambia","Holanda","Hombres","35 a 64",0,20,20,0.1812
"Georgia","Holanda","Hombres","35 a 64",0,350,350,0.0398
"Ghana","Holanda","Hombres","35 a 64",0,65,65,0.1824
"Guinea","Holanda","Hombres","35 a 64",5,35,40,0.3424
"India","Holanda","Hombres","35 a 64",0,25,25,0.0272
"Indonesia","Holanda","Hombres","35 a 64",0,5,5,0
"Irán","Holanda","Hombres","35 a 64",455,540,995,0.585
"Iraq","Holanda","Hombres","35 a 64",1260,1250,2510,0.6694
"Israel","Holanda","Hombres","35 a 64",0,5,5,0.0292
"Jamaica","Holanda","Hombres","35 a 64",20,10,30,0.3151
"Jordán","Holanda","Hombres","35 a 64",0,5,5,0.1975
"Kazakhstan","Holanda","Hombres","35 a 64",0,25,25,0.1094
"Kenya","Holanda","Hombres","35 a 64",0,5,5,0.1425
"Kosovo","Holanda","Hombres","35 a 64",0,25,25,0.0658
"Líbano","Holanda","Hombres","35 a 64",0,30,30,0.1049
"Liberia","Holanda","Hombres","35 a 64",0,15,15,0.1739
"Libia","Holanda","Hombres","35 a 64",30,85,115,0.3312
"Macedonia","Holanda","Hombres","35 a 64",0,120,120,0.0058
"Mali","Holanda","Hombres","35 a 64",0,5,5,0.3537
"Marruecos","Holanda","Hombres","35 a 64",0,50,50,0.0788
"Mongolia","Holanda","Hombres","35 a 64",0,150,150,0.0397
"Myanmar/Burma","Holanda","Hombres","35 a 64",105,10,115,0.6675
"Nepal","Holanda","Hombres","35 a 64",25,75,100,0.1457
"Níger","Holanda","Hombres","35 a 64",0,5,5,0.2475
"Nigeria","Holanda","Hombres","35 a 64",10,160,170,0.1256
"Pakistán","Holanda","Hombres","35 a 64",25,110,135,0.194
"Palestina","Holanda","Hombres","35 a 64",15,30,45,0.707
"Rep. Dem. Congo","Holanda","Hombres","35 a 64",10,25,35,0.2454
"Ruanda","Holanda","Hombres","35 a 64",0,15,15,0.4658
"Rusia","Holanda","Hombres","35 a 64",25,300,325,0.2124
"Senegal","Holanda","Hombres","35 a 64",5,20,25,0.2007
"Serbia","Holanda","Hombres","35 a 64",0,105,105,0.0297
"Sierra Leona","Holanda","Hombres","35 a 64",5,35,40,0.3091
"Siria","Holanda","Hombres","35 a 64",1870,235,2105,0.8997
"Somalia","Holanda","Hombres","35 a 64",685,630,1315,0.7327
"Sri Lanka","Holanda","Hombres","35 a 64",75,155,230,0.3733
"Sudáfrica","Holanda","Hombres","35 a 64",0,5,5,0.1243
"Sudán","Holanda","Hombres","35 a 64",45,120,165,0.5561
"Suriname","Holanda","Hombres","35 a 64",0,5,5,0
"Tajikistán","Holanda","Hombres","35 a 64",5,5,10,0.1383
"Togo","Holanda","Hombres","35 a 64",0,25,25,0.2193
"Túnez","Holanda","Hombres","35 a 64",0,15,15,0.0375
"Turquía","Holanda","Hombres","35 a 64",30,135,165,0.1959
"Ucrania","Holanda","Hombres","35 a 64",0,70,70,0.0939
"Uganda","Holanda","Hombres","35 a 64",25,50,75,0.4894
"Uzbekistán","Holanda","Hombres","35 a 64",5,10,15,0.1963
"Venezuela","Holanda","Hombres","35 a 64",0,5,5,0.1154
"Vietnam","Holanda","Hombres","35 a 64",0,10,10,0.0784
"Yemen","Holanda","Hombres","35 a 64",5,5,10,0.4629
"Zimbabwe","Holanda","Hombres","35 a 64",0,5,5,0.4601
"Afganistán","Hungría","Hombres","35 a 64",45,110,155,0.3624
"Algeria","Hungría","Hombres","35 a 64",0,90,90,0.0265
"Apátrida","Hungría","Hombres","35 a 64",0,5,5,0.5686
"Bangladesh","Hungría","Hombres","35 a 64",0,5,5,0.0502
"Burkina Faso","Hungría","Hombres","35 a 64",0,10,10,0.0897
"China (incluye Hong Kong)","Hungría","Hombres","35 a 64",0,40,40,0.1454
"Comoras","Hungría","Hombres","35 a 64",0,5,5,0.0906
"Costa de Marfil","Hungría","Hombres","35 a 64",0,30,30,0.1449
"Cuba","Hungría","Hombres","35 a 64",5,15,20,0.468
"Desconocido","Hungría","Hombres","35 a 64",0,5,5,0.2068
"Egipto","Hungría","Hombres","35 a 64",0,10,10,0.1361
"Eritrea","Hungría","Hombres","35 a 64",5,0,5,0.6768
"Gambia","Hungría","Hombres","35 a 64",0,5,5,0.0898
"Georgia","Hungría","Hombres","35 a 64",10,35,45,0.0181
"Ghana","Hungría","Hombres","35 a 64",0,15,15,0.0905
"Guinea","Hungría","Hombres","35 a 64",0,5,5,0.1885
"Irán","Hungría","Hombres","35 a 64",5,25,30,0.3861
"Iraq","Hungría","Hombres","35 a 64",35,25,60,0.4746
"Kosovo","Hungría","Hombres","35 a 64",0,610,610,0.0305
"Libia","Hungría","Hombres","35 a 64",0,5,5,0.1809
"Macedonia","Hungría","Hombres","35 a 64",0,5,5,0.0026
"Mali","Hungría","Hombres","35 a 64",0,15,15,0.1962
"Marruecos","Hungría","Hombres","35 a 64",0,35,35,0.0368
"Mauritania","Hungría","Hombres","35 a 64",0,15,15,0.1124
"Mongolia","Hungría","Hombres","35 a 64",0,5,5,0.0181
"Nigeria","Hungría","Hombres","35 a 64",0,55,55,0.0602
"Pakistán","Hungría","Hombres","35 a 64",5,125,130,0.0969
"Palestina","Hungría","Hombres","35 a 64",20,30,50,0.5184
"Rusia","Hungría","Hombres","35 a 64",0,20,20,0.1074
"Senegal","Hungría","Hombres","35 a 64",0,40,40,0.1007
"Serbia","Hungría","Hombres","35 a 64",0,85,85,0.0135
"Siria","Hungría","Hombres","35 a 64",70,30,100,0.8001
"Somalia","Hungría","Hombres","35 a 64",25,5,30,0.5501
"Sudán","Hungría","Hombres","35 a 64",5,5,10,0.3585
"Togo","Hungría","Hombres","35 a 64",0,5,5,0.1114
"Túnez","Hungría","Hombres","35 a 64",0,20,20,0.0171
"Turquía","Hungría","Hombres","35 a 64",0,45,45,0.098
"Ucrania","Hungría","Hombres","35 a 64",0,5,5,0.0442
"Vietnam","Hungría","Hombres","35 a 64",0,35,35,0.0366
"Afganistán","Irlanda","Hombres","35 a 64",10,30,40,0.2144
"Albania","Irlanda","Hombres","35 a 64",0,25,25,0.0233
"Algeria","Irlanda","Hombres","35 a 64",0,60,60,0.0129
"Angola","Irlanda","Hombres","35 a 64",0,10,10,0.0459
"Bangladesh","Irlanda","Hombres","35 a 64",0,35,35,0.0248
"Brazil","Irlanda","Hombres","35 a 64",0,5,5,0.0115
"Camerún","Irlanda","Hombres","35 a 64",0,15,15,0.0704
"China (incluye Hong Kong)","Irlanda","Hombres","35 a 64",0,35,35,0.0755
"Costa de Marfil","Irlanda","Hombres","35 a 64",0,5,5,0.0752
"Eritrea","Irlanda","Hombres","35 a 64",0,10,10,0.5015
"Etiopía","Irlanda","Hombres","35 a 64",0,5,5,0.13
"Georgia","Irlanda","Hombres","35 a 64",0,85,85,0.0088
"Ghana","Irlanda","Hombres","35 a 64",0,55,55,0.0456
"Guinea","Irlanda","Hombres","35 a 64",0,5,5,0.1004
"India","Irlanda","Hombres","35 a 64",0,5,5,0.0059
"Irán","Irlanda","Hombres","35 a 64",5,20,25,0.232
"Iraq","Irlanda","Hombres","35 a 64",35,55,90,0.3026
"Liberia","Irlanda","Hombres","35 a 64",0,10,10,0.0431
"Malawi","Irlanda","Hombres","35 a 64",0,10,10,0.0476
"Mauricio","Irlanda","Hombres","35 a 64",0,10,10,0.0121
"Moldavia","Irlanda","Hombres","35 a 64",0,25,25,0.0078
"Nepal","Irlanda","Hombres","35 a 64",0,15,15,0.0353
"Nigeria","Irlanda","Hombres","35 a 64",0,325,325,0.0299
"Pakistán","Irlanda","Hombres","35 a 64",20,215,235,0.049
"Palestina","Irlanda","Hombres","35 a 64",5,10,15,0.3408
"Rep. Dem. Congo","Irlanda","Hombres","35 a 64",5,70,75,0.0651
"Rusia","Irlanda","Hombres","35 a 64",0,10,10,0.0546
"Serbia","Irlanda","Hombres","35 a 64",0,5,5,0.0065
"Siria","Irlanda","Hombres","35 a 64",20,0,20,0.6578
"Somalia","Irlanda","Hombres","35 a 64",10,15,25,0.37
"Sri Lanka","Irlanda","Hombres","35 a 64",0,10,10,0.1132
"Sudáfrica","Irlanda","Hombres","35 a 64",0,45,45,0.0295
"Sudán","Irlanda","Hombres","35 a 64",15,35,50,0.2116
"Ucrania","Irlanda","Hombres","35 a 64",0,15,15,0.0217
"Uganda","Irlanda","Hombres","35 a 64",0,5,5,0.1704
"Zimbabwe","Irlanda","Hombres","35 a 64",0,35,35,0.1544
"Afganistán","Italia","Hombres","35 a 64",470,110,580,0.8884
"Albania","Italia","Hombres","35 a 64",40,50,90,0.4104
"Algeria","Italia","Hombres","35 a 64",40,160,200,0.2763
"Angola","Italia","Hombres","35 a 64",5,0,5,0.5842
"Armenia","Italia","Hombres","35 a 64",25,25,50,0.3777
"Azerbaijan","Italia","Hombres","35 a 64",5,0,5,0.6162
"Bangladesh","Italia","Hombres","35 a 64",195,395,590,0.4255
"Benin","Italia","Hombres","35 a 64",5,15,20,0.4714
"Bolivia","Italia","Hombres","35 a 64",0,5,5,0.3701
"Bosnia y Herzegovina","Italia","Hombres","35 a 64",35,85,120,0.1896
"Brazil","Italia","Hombres","35 a 64",10,0,10,0.253
"Burkina Faso","Italia","Hombres","35 a 64",130,200,330,0.5799
"Camerún","Italia","Hombres","35 a 64",60,55,115,0.6884
"Chad","Italia","Hombres","35 a 64",40,20,60,0.7359
"China (incluye Hong Kong)","Italia","Hombres","35 a 64",20,45,65,0.7045
"Colombia","Italia","Hombres","35 a 64",90,35,125,0.559
"Congo","Italia","Hombres","35 a 64",50,35,85,0.68
"Costa de Marfil","Italia","Hombres","35 a 64",380,265,645,0.7036
"Croacia","Italia","Hombres","35 a 64",5,10,15,0.1601
"Cuba","Italia","Hombres","35 a 64",15,40,55,0.925
"Desconocido","Italia","Hombres","35 a 64",75,130,205,0.7851
"Ecuador","Italia","Hombres","35 a 64",0,5,5,0.407
"Egipto","Italia","Hombres","35 a 64",155,75,230,0.6882
"El Salvador","Italia","Hombres","35 a 64",10,5,15,0.5188
"Eritrea","Italia","Hombres","35 a 64",455,50,505,0.967
"Etiopía","Italia","Hombres","35 a 64",55,10,65,0.8134
"Filipinas","Italia","Hombres","35 a 64",0,5,5,0
"Gambia","Italia","Hombres","35 a 64",60,105,165,0.5804
"Georgia","Italia","Hombres","35 a 64",25,55,80,0.2056
"Ghana","Italia","Hombres","35 a 64",620,550,1170,0.5824
"Guinea","Italia","Hombres","35 a 64",75,80,155,0.765
"Guinea-Bissau","Italia","Hombres","35 a 64",20,15,35,0.6201
"India","Italia","Hombres","35 a 64",15,90,105,0.1486
"Irán","Italia","Hombres","35 a 64",180,55,235,0.8981
"Iraq","Italia","Hombres","35 a 64",335,65,400,0.9268
"Kenya","Italia","Hombres","35 a 64",0,5,5,0.5095
"Kosovo","Italia","Hombres","35 a 64",55,100,155,0.3057
"Líbano","Italia","Hombres","35 a 64",30,40,70,0.4227
"Liberia","Italia","Hombres","35 a 64",95,65,160,0.5681
"Libia","Italia","Hombres","35 a 64",45,20,65,0.7558
"Macedonia","Italia","Hombres","35 a 64",10,30,40,0.0354
"Madagascar","Italia","Hombres","35 a 64",0,5,5,0.4529
"Mali","Italia","Hombres","35 a 64",260,170,430,0.7738
"Marruecos","Italia","Hombres","35 a 64",100,260,360,0.3485
"Mauritania","Italia","Hombres","35 a 64",40,30,70,0.6397
"Moldavia","Italia","Hombres","35 a 64",5,5,10,0.1873
"Montenegro","Italia","Hombres","35 a 64",0,15,15,0.0797
"Níger","Italia","Hombres","35 a 64",50,35,85,0.6727
"Nigeria","Italia","Hombres","35 a 64",745,1035,1780,0.4731
"Pakistán","Italia","Hombres","35 a 64",1105,1375,2480,0.6007
"Palestina","Italia","Hombres","35 a 64",105,25,130,0.9378
"Perú","Italia","Hombres","35 a 64",10,10,20,0.5165
"Rep. Dem. Congo","Italia","Hombres","35 a 64",60,15,75,0.6703
"República Centroafricana","Italia","Hombres","35 a 64",5,0,5,0.9364
"Rusia","Italia","Hombres","35 a 64",10,15,25,0.6276
"Senegal","Italia","Hombres","35 a 64",335,430,765,0.6108
"Serbia","Italia","Hombres","35 a 64",70,80,150,0.1608
"Sierra Leona","Italia","Hombres","35 a 64",30,20,50,0.7366
"Siria","Italia","Hombres","35 a 64",215,65,280,0.9825
"Somalia","Italia","Hombres","35 a 64",575,25,600,0.9449
"Sri Lanka","Italia","Hombres","35 a 64",110,105,215,0.7883
"Sudán","Italia","Hombres","35 a 64",250,60,310,0.8868
"Tanzania","Italia","Hombres","35 a 64",0,5,5,0.4482
"Togo","Italia","Hombres","35 a 64",110,105,215,0.6371
"Túnez","Italia","Hombres","35 a 64",115,665,780,0.1957
"Turquía","Italia","Hombres","35 a 64",260,285,545,0.6036
"Ucrania","Italia","Hombres","35 a 64",35,25,60,0.3931
"Venezuela","Italia","Hombres","35 a 64",5,0,5,0.4492
"Yemen","Italia","Hombres","35 a 64",5,0,5,0.8435
"Afganistán","Letonia","Hombres","35 a 64",5,5,10,0.4133
"Georgia","Letonia","Hombres","35 a 64",0,30,30,0.0224
"Irán","Letonia","Hombres","35 a 64",0,5,5,0.438
"Rep. Dem. Congo","Letonia","Hombres","35 a 64",0,10,10,0.1524
"Rusia","Letonia","Hombres","35 a 64",0,10,10,0.1297
"Siria","Letonia","Hombres","35 a 64",10,0,10,0.8323
"Afganistán","Lituania","Hombres","35 a 64",10,0,10,0.7238
"Apátrida","Lituania","Hombres","35 a 64",0,5,5,0.8587
"Bielorrusia","Lituania","Hombres","35 a 64",5,0,5,0.3269
"Georgia","Lituania","Hombres","35 a 64",0,145,145,0.0785
"Kyrgyzstan","Lituania","Hombres","35 a 64",0,10,10,0.2229
"Nigeria","Lituania","Hombres","35 a 64",0,5,5,0.2281
"Rusia","Lituania","Hombres","35 a 64",10,30,40,0.3567
"Tajikistán","Lituania","Hombres","35 a 64",0,5,5,0.2482
"Ucrania","Lituania","Hombres","35 a 64",5,0,5,0.1757
"Vietnam","Lituania","Hombres","35 a 64",0,5,5,0.1489
"Afganistán","Luxemburgo","Hombres","35 a 64",5,5,10,0.4188
"Albania","Luxemburgo","Hombres","35 a 64",0,60,60,0.0592
"Algeria","Luxemburgo","Hombres","35 a 64",0,20,20,0.0334
"Angola","Luxemburgo","Hombres","35 a 64",5,0,5,0.1128
"Bielorrusia","Luxemburgo","Hombres","35 a 64",0,10,10,0.1178
"Bosnia y Herzegovina","Luxemburgo","Hombres","35 a 64",0,80,80,0.0207
"Camerún","Luxemburgo","Hombres","35 a 64",0,5,5,0.1666
"Gambia","Luxemburgo","Hombres","35 a 64",0,5,5,0.1112
"Georgia","Luxemburgo","Hombres","35 a 64",0,5,5,0.0229
"Irán","Luxemburgo","Hombres","35 a 64",10,20,30,0.4436
"Iraq","Luxemburgo","Hombres","35 a 64",20,30,50,0.5339
"Kosovo","Luxemburgo","Hombres","35 a 64",0,100,100,0.0383
"Macedonia","Luxemburgo","Hombres","35 a 64",0,65,65,0.0033
"Marruecos","Luxemburgo","Hombres","35 a 64",0,5,5,0.0462
"Montenegro","Luxemburgo","Hombres","35 a 64",5,50,55,0.0078
"Nigeria","Luxemburgo","Hombres","35 a 64",0,5,5,0.0751
"Rusia","Luxemburgo","Hombres","35 a 64",5,25,30,0.1323
"Serbia","Luxemburgo","Hombres","35 a 64",10,140,150,0.017
"Siria","Luxemburgo","Hombres","35 a 64",10,5,15,0.8354
"Somalia","Luxemburgo","Hombres","35 a 64",0,15,15,0.608
"Túnez","Luxemburgo","Hombres","35 a 64",0,15,15,0.0215
"Bangladesh","Malta","Hombres","35 a 64",0,10,10,0.2897
"Costa de Marfil","Malta","Hombres","35 a 64",0,20,20,0.5666
"Egipto","Malta","Hombres","35 a 64",5,0,5,0.5487
"Eritrea","Malta","Hombres","35 a 64",140,0,140,0.9417
"Etiopía","Malta","Hombres","35 a 64",10,10,20,0.7059
"Ghana","Malta","Hombres","35 a 64",0,10,10,0.4345
"Guinea","Malta","Hombres","35 a 64",0,10,10,0.6419
"Libia","Malta","Hombres","35 a 64",110,0,110,0.6303
"Mali","Malta","Hombres","35 a 64",0,10,10,0.6533
"Níger","Malta","Hombres","35 a 64",0,5,5,0.531
"Nigeria","Malta","Hombres","35 a 64",0,60,60,0.3309
"Pakistán","Malta","Hombres","35 a 64",10,10,20,0.4531
"Palestina","Malta","Hombres","35 a 64",10,5,15,0.8926
"Siria","Malta","Hombres","35 a 64",110,5,115,0.9686
"Somalia","Malta","Hombres","35 a 64",230,5,235,0.9042
"Sudán","Malta","Hombres","35 a 64",25,10,35,0.8118
"Togo","Malta","Hombres","35 a 64",0,5,5,0.4917
"Ucrania","Malta","Hombres","35 a 64",5,0,5,0.2629
"Afganistán","Polonia","Hombres","35 a 64",5,5,10,0.7381
"Algeria","Polonia","Hombres","35 a 64",0,10,10,0.119
"Apátrida","Polonia","Hombres","35 a 64",10,15,25,0.8673
"Armenia","Polonia","Hombres","35 a 64",30,100,130,0.1768
"Bielorrusia","Polonia","Hombres","35 a 64",15,40,55,0.3431
"Camerún","Polonia","Hombres","35 a 64",0,10,10,0.4388
"China (incluye Hong Kong)","Polonia","Hombres","35 a 64",0,5,5,0.4575
"Egipto","Polonia","Hombres","35 a 64",5,0,5,0.4385
"Georgia","Polonia","Hombres","35 a 64",25,610,635,0.0839
"India","Polonia","Hombres","35 a 64",0,5,5,0.0581
"Irán","Polonia","Hombres","35 a 64",0,10,10,0.7572
"Iraq","Polonia","Hombres","35 a 64",25,0,25,0.8175
"Kyrgyzstan","Polonia","Hombres","35 a 64",5,0,5,0.2358
"Moldavia","Polonia","Hombres","35 a 64",0,5,5,0.0754
"Mongolia","Polonia","Hombres","35 a 64",5,10,15,0.0838
"Nepal","Polonia","Hombres","35 a 64",0,10,10,0.2739
"Nigeria","Polonia","Hombres","35 a 64",0,5,5,0.2411
"Pakistán","Polonia","Hombres","35 a 64",0,20,20,0.3473
"Rusia","Polonia","Hombres","35 a 64",480,1130,1610,0.3736
"Siria","Polonia","Hombres","35 a 64",40,5,45,0.952
"Somalia","Polonia","Hombres","35 a 64",5,0,5,0.8584
"Sri Lanka","Polonia","Hombres","35 a 64",0,10,10,0.5685
"Turquía","Polonia","Hombres","35 a 64",0,20,20,0.3502
"Ucrania","Polonia","Hombres","35 a 64",5,200,205,0.1864
"Vietnam","Polonia","Hombres","35 a 64",0,50,50,0.1584
"Colombia","Portugal","Hombres","35 a 64",5,0,5,0.3916
"Guinea","Portugal","Hombres","35 a 64",0,15,15,0.623
"Mali","Portugal","Hombres","35 a 64",0,5,5,0.6347
"Nigeria","Portugal","Hombres","35 a 64",5,5,10,0.3132
"Pakistán","Portugal","Hombres","35 a 64",5,0,5,0.433
